product_number,product_description,product_category,product_price
013424C3XX-00,PLT INSERT 212 CMU ITS,B-TRF,$0.70 
013425B3XX-00,BRKT C/G 212 CMU ITS,B-TRF,$6.84 
013458B332-01,"CVR PANDUCT 24"" (3X2)",B-TRF,$2.19 
013458B332-02,"CVR PANDUCT 18"" (3X2)",B-TRF,$1.99 
013602D333-00,RAIL RACK EIA 333S,B-TRF,$8.78 
013607B333-00,BRKT BATTERY STOPBRKT,B-TRF,$1.06 
013619B332-01,"PANDUCT 24"" (3X1)",B-TRF,$6.03 
013619B332-02,"PANDUCT 18"" (3X1)",B-TRF,$1.84 
021110C33X-00,BRKT FUSE 3 POS,B-TRF,$2.28 
021117D336-00,SHIELD SUN FT DOOR,B-TRF,$29.48 
025200D332-58,332 GRN CAB #14036 FEDERAL ID 595B-14036,B-TRF,$462.47 
025215D332-12,332 RISER 8IN BLACK PAINTED BLACK,B-TRF,$75.92 
025266D332-24,332 CAB W/O POLICE DOOR FEDERAL BROWN 595B#20059,B-TRF,$605.77 
025266D332-42,332 CAB WO POL DR PNTD SHRWIN WILLIAMS DGS2-4001 PAINT INSIDE AND OUTSIDE,B-TRF,$459.12 
025266D332-59,332 CAB W/O POL DOOR GREEN PAINTED FED ID# 595-24108,B-RWE,$606.91 
025283D332-9G,332 CAB BEIGE W/RD HOOKS,B-TRF,$576.95 
026195D336-34,336S CAB W/SUN SHLD WHT PAINTED RAL 1013 WHITE,B-TRF,$727.15 
026228D332-AG,332 DBL CAB ASSY AL ANIT-G,B-TRF,$841.87 
027207D334-00,334 CAB ASSY W/AC CUT-OUT FOR KOOLTRONIC  KXRP47,B-TRF,$478.64 
027208D334-00,334 HSG WELD W/AC CUT-OUT FOR KOOLTRONIC  KXRP47,B-TRF,$247.66 
