P/N #,Product Discreption,Product Group Code,Product Price
013424C3XX-00,PLT INSERT 212 CMU ITS,B-TRF,$0.70
013425B3XX-00,BRKT C/G 212 CMU ITS,B-TRF,$6.84
013458B332-01,"CVR PANDUCT 24"" (3X2)",B-TRF,$2.19
013458B332-02,"CVR PANDUCT 18"" (3X2)",B-TRF,$1.99
013602D333-00,RAIL RACK EIA 333S,B-TRF,$8.78
013607B333-00,BRKT BATTERY STOPBRKT,B-TRF,$1.06
013619B332-01,"PANDUCT 24"" (3X1)",B-TRF,$6.03
013619B332-02,"PANDUCT 18"" (3X1)",B-TRF,$1.84
021110C33X-00,BRKT FUSE 3 POS,B-TRF,$2.28
021117D336-00,SHIELD SUN FT DOOR,B-TRF,$29.48
025200D332-58,332 GRN CAB #14036 FEDERAL ID 595B-14036,B-TRF,$462.47
025215D332-12,332 RISER 8IN BLACK PAINTED BLACK,B-TRF,$75.92
025266D332-24,332 CAB W/O POLICE DOOR FEDERAL BROWN 595B#20059,B-TRF,$605.77
025266D332-42,332 CAB WO POL DR PNTD SHRWIN WILLIAMS DGS2-4001 PAINT INSIDE AND OUTSIDE,B-TRF,$459.12
025266D332-59,332 CAB W/O POL DOOR GREEN PAINTED FED ID# 595-24108,B-RWE,$606.91
025283D332-9G,332 CAB BEIGE W/RD HOOKS,B-TRF,$576.95
026195D336-34,336S CAB W/SUN SHLD WHT PAINTED RAL 1013 WHITE,B-TRF,$727.15
026228D332-AG,332 DBL CAB ASSY AL ANIT-G,B-TRF,$841.87
027207D334-00,334 CAB ASSY W/AC CUT-OUT FOR KOOLTRONIC  KXRP47,B-TRF,$478.64
027208D334-00,334 HSG WELD W/AC CUT-OUT FOR KOOLTRONIC  KXRP47,B-TRF,$247.66
027209D334-00,334 FT DOOR WELD NO LVRS,B-TRF,$57.68
04700442-001,"PANEL, 21 X 13",CCI,$0.00
053204,STATOR BODY,CCI,$0.00
053204-1,Bulkhead,CCI,$0.00
053204-2,Body,CCI,$0.00
05S-6374-003,TOMAR 4140 OSP CARD,B-VAR,"$2,180.00"
05S-6640-002,233MC1 SOFTWARE ON A CHIP ONLYMCCAIN QTE,S-270,"$1,471.50"
05S-6642-001,"COG1212C COVER 12""X12""",CCI,$0.00
0709024280,CAP 2.2MF 400V,C-170,$1.77
0711910100,MODEM 400F,B-TRF,$114.45
0711910110,MODEM 496,B-TRF,$287.76
0711910245,170E ETHERNET NETWORK CARD,B-TRF,$374.96
0712010675,PRG CARD 2010 ECL NC CMU,B-TRF,$27.25
0714423710,CO MLX W/O 15R,B-TRF,$0.27
0714430110,CO MLX 3191 12R,B-TRF,$0.19
0714430300,CO MLX M HOUSING,B-TRF,$0.26
0714431050,CO D-SUB DBC-25S,B-TRF,$9.48
0714431215,CO D-SUB 50 PIN S PCB,B-TRF,$19.35
0714431250,CO D-SUB 37 PIN P,B-TRF,$3.49
0714431260,CO D-SUB 37 PIN S,B-TRF,$13.12
0714431270,CO HOOD 37 PIN D,B-TRF,$0.00
0714450630,CO P9-5412-DB,B-TRF,$7.43
0714450720,CO S9-5413-SB,B-TRF,$7.56
0715313750,PIN F REEL,B-TRF,$0.14
0715342080,HEATER STRIP 150W,B-TRF,$48.60
0720690030,DUPLEX OUTLET PLATE,B-TRF,$0.43
0723720130,FLTR AIR PM 8X14X1 EXACT,B-TRF,$4.43
0725103335,FUSE 5AMP FA,B-TRF,$0.14
0725144090,BLOCK FUSE 9 POS,B-TRF,$18.15
0735310200,RIVET SOLID .343 HD ALUM,M-HDW,$0.03
0736981910,"S 3/8X3-1/2 HH SS, W/ND PATCH",M-HDW,$0.52
0736996900,THUMBSCREW FL 8-32,M-HDW,$1.78
0743000050,HINGE CONT 336S,B-TRF,$23.38
0750211650,LABEL MAN ON/OFF,B-TRF,$0.31
0750220100,LABEL CMU WARNING,B-TRF,$0.35
0750220530,LABEL AUX RR PNL FT4 SC,B-TRF,$0.21
0750220550,LABEL AUX RR PNL FT6 SC,B-TRF,$0.21
0750220700,LABEL BRASS SERIAL #,B-TRF,$5.45
0750220820,LABEL I/F BTM NC,B-TRF,$0.24
0755401075,"LOCK CORBIN ""NYA""",B-TRF,$43.20
0755403700,DOOR LOCK HOLE COVER,B-TRF,$28.27
0756700180,DET LMD622,B-TRF,$64.31
0766910250,GASKET 332/334 BOTTOM,B-TRF,$32.70
0766910300,WEATHERSTRIP 333SD KIT,B-TRF,$9.27
0767130550,SCKT RELAY 27E489,B-TRF,$1.40
0768120730,RES 1K 1/4W5 CF,C-170,$0.01
0771020700,INSUL TRAN SILPAD,C-170,$0.43
0776511600,SURR PICO 27V,B-TRF,$11.87
0776511720,SURR COG P-350,B-TRF,$7.19
0782104110,TERM RG #10 (6),B-TRF,$0.26
0783406000,T/B 10POS 601,B-TRF,$2.73
0783460140,"LAMP, NEON, SAKS 6, 115VAC  WEIDMULLER",B-TRF,$2.69
0783462010,COVER END USK4/10,B-TRF,$0.49
0783462710,"T/B FUSE UK6, 3-HESI",B-TRF,$5.61
